#column labels
#number   mjd start   mjd stop   mjd midpoint   flux(crab)   flux error(crab)
96	50541.2472	50541.2667	50541.2569	 0.46	0.11
97	50545.1854	50545.2410	50545.2132	 0.37	0.10
98	50546.2160	50546.2563	50546.2361	 0.66	0.12
99	50548.1896	50548.3257	50548.2625	 0.25	0.11
100	50549.2264	50549.2458	50549.2361	 0.92	0.11
101	50550.2681	50550.2875	50550.2778	 0.34	0.10
102	50551.2972	50551.3167	50551.3069	 0.27	0.15
103	50565.1444	50565.1639	50565.1542	 0.10	0.09
104	50566.1424	50566.2882	50566.2294	 0.28	0.13
105	50568.1438	50568.2701	50568.2135	 0.02	0.12
106	50569.1493	50569.2729	50569.2129	 0.26	0.11
107	50570.1493	50570.2924	50570.2211	 0.23	0.12
108	50571.1493	50571.2625	50571.1970	 0.20	0.16
109	50574.1778	50574.1972	50574.1875	 0.09	0.10
110	50575.1479	50575.2076	50575.1780	 0.32	0.10
111	50576.1583	50576.2625	50576.2099	 0.36	0.11
112	50577.2340	50577.2535	50577.2438	 0.12	0.11
113	50595.1625	50595.1819	50595.1722	 0.29	0.12
114	50596.1618	50596.1813	50596.1715	 0.29	0.11
115	50597.1694	50597.1889	50597.1792	 0.09	0.12
116	50598.1750	50598.2160	50598.1955	 0.11	0.11
117	50600.1715	50600.1910	50600.1813	 0.64	0.14
118	50601.1688	50601.1882	50601.1785	 0.61	0.14
119	50602.1708	50602.1903	50602.1806	 0.64	0.15
120	50604.1681	50604.1875	50604.1778	-0.01	0.15
121	50606.1681	50606.1875	50606.1778	 0.23	0.12
122	50811.4403	50811.4792	50811.4597	 0.12	0.12
123	50819.5229	50819.5424	50819.5326	-0.16	0.18
124	50835.3625	50835.3764	50835.3694	 0.36	0.21
125	50836.3319	50836.3514	50836.3417	-0.04	0.18
126	50837.4076	50837.4271	50837.4174	 0.51	0.33
127	50838.3583	50838.4833	50838.4208	 1.17	0.27
128	50839.3625	50839.3819	50839.3722	-0.27	0.23
129	50840.3319	50840.4410	50840.3861	 0.31	0.21
130	50843.4090	50843.4285	50843.4188	 0.81	0.27
131	50844.3653	50844.4507	50844.4113	 0.27	0.15
132	50846.3458	50846.4194	50846.3826	 0.46	0.16
133	50847.4611	50847.4806	50847.4708	 1.26	0.29
134	50867.2882	50867.3729	50867.3338	 0.45	0.17
135	50872.3667	50872.3861	50872.3764	 0.18	0.12
136	50876.3229	50876.3910	50876.3569	 0.54	0.20
137	50877.3819	50877.4014	50877.3917	 0.27	0.14
138	50896.2896	50896.3090	50896.2993	 0.55	0.20
139	50897.2368	50897.2993	50897.2681	 0.20	0.18
140	50900.2417	50900.2819	50900.2618	 0.21	0.09
141	50903.3181	50903.3833	50903.3507	 0.25	0.24
142	50904.2479	50904.3424	50904.2983	 0.37	0.28
143	50906.3319	50906.3785	50906.3552	 0.41	0.28
144	50921.2847	50921.3042	50921.2944	 0.54	0.26
145	50922.1583	50922.2451	50922.2017	 0.47	0.19
146	50923.1576	50923.2125	50923.1851	 0.58	0.17
147	50924.1542	50924.3208	50924.2485	 1.33	0.27
148	50925.1556	50925.2847	50925.2253	 0.35	0.19
149	50926.1604	50926.2424	50926.2051	 0.50	0.18
150	50927.1389	50927.3188	50927.2288	 0.59	0.25
151	50928.2271	50928.3090	50928.2715	 0.15	0.21
152	50930.1514	50930.2924	50930.2221	 0.66	0.22
153	50931.1667	50931.3056	50931.2365	 0.26	0.23
154	50932.2049	50932.3049	50932.2546	 0.77	0.34
155	50948.1667	50948.2139	50948.1903	 1.66	0.24
156	50949.1639	50949.1833	50949.1736	 1.26	0.26
157	50953.1986	50953.2181	50953.2083	 1.29	0.22
158	50955.1583	50955.1778	50955.1681	 1.54	0.28
159	50956.1660	50956.1854	50956.1757	 0.63	0.25
160	50957.1806	50957.2000	50957.1903	 1.26	0.28
161	50959.1611	50959.1806	50959.1708	 1.26	0.27
162	50960.1604	50960.1799	50960.1701	 1.80	0.30
163	50961.1757	50961.1951	50961.1854	 0.36	0.30
164	51144.4854	51144.5257	51144.5056	 0.59	0.19
165	51167.4306	51167.4910	51167.4606	 1.57	0.21
166	51168.4382	51168.4785	51168.4583	 0.65	0.18
167	51169.4021	51169.4833	51169.4427	 0.79	0.20
168	51170.4514	51170.4708	51170.4611	 0.06	0.24
